"id2","variable","value","p"
302002,"X67_to_69_years",30,2.3961661341853
302002,"X70_to_74_years",34,2.71565495207668
302002,"X75_to_79_years",41,3.27476038338658
302002,"X80_to_84_years",31,2.47603833865815
302002,"X85_years_and_over",41,3.27476038338658
302003,"Xunder_5_years",39,4.04984423676012
302003,"X5_to_9_years",78,8.09968847352025
302003,"X10_to_14_years",79,8.20353063343718
302003,"X15_to_17_years",42,4.3613707165109
302003,"X18_to_21_years",38,3.9460020768432
302003,"X22_to_24_years",27,2.80373831775701
302003,"X25_to_29_years",32,3.32294911734164
302003,"X30_to_34_years",33,3.42679127725857
302003,"X35_to_39_years",57,5.9190031152648
302003,"X40_to_44_years",91,9.44963655244029
302003,"X45_to_49_years",91,9.44963655244029
302003,"X50_to_54_years",82,8.51505711318795
302003,"X55_to_59_years",63,6.54205607476636
302003,"X60_and_61_years",24,2.49221183800623
302003,"X62_to_64_years",37,3.84215991692627
302003,"X65_and_66_years",11,1.14226375908619
302003,"X67_to_69_years",26,2.69989615784008
302003,"X70_to_74_years",30,3.11526479750779
302003,"X75_to_79_years",30,3.11526479750779
302003,"X80_to_84_years",22,2.28452751817238
302003,"X85_years_and_over",31,3.21910695742471
303001,"Xunder_5_years",63,4.64601769911504
303001,"X5_to_9_years",115,8.48082595870206
303001,"X10_to_14_years",115,8.48082595870206
303001,"X15_to_17_years",63,4.64601769911504
303001,"X18_to_21_years",56,4.12979351032448
303001,"X22_to_24_years",32,2.3598820058997
303001,"X25_to_29_years",53,3.90855457227139
303001,"X30_to_34_years",41,3.023598820059
303001,"X35_to_39_years",74,5.45722713864307
303001,"X40_to_44_years",115,8.48082595870206
303001,"X45_to_49_years",147,10.8407079646018
303001,"X50_to_54_years",135,9.95575221238938
303001,"X55_to_59_years",108,7.9646017699115
303001,"X60_and_61_years",32,2.3598820058997
303001,"X62_to_64_years",39,2.87610619469027
303001,"X65_and_66_years",18,1.32743362831858
303001,"X67_to_69_years",34,2.50737463126844
303001,"X70_to_74_years",40,2.94985250737463
303001,"X75_to_79_years",28,2.06489675516224
303001,"X80_to_84_years",24,1.76991150442478
303001,"X85_years_and_over",24,1.76991150442478
303002,"Xunder_5_years",85,5.08982035928144
303002,"X5_to_9_years",149,8.92215568862276
303002,"X10_to_14_years",129,7.72455089820359
303002,"X15_to_17_years",99,5.92814371257485
303002,"X18_to_21_years",43,2.5748502994012
303002,"X22_to_24_years",31,1.8562874251497
303002,"X25_to_29_years",39,2.33532934131737
303002,"X30_to_34_years",40,2.39520958083832
303002,"X35_to_39_years",98,5.86826347305389
303002,"X40_to_44_years",121,7.24550898203593
303002,"X45_to_49_years",172,10.2994011976048
303002,"X50_to_54_years",182,10.8982035928144
303002,"X55_to_59_years",139,8.32335329341317
303002,"X60_and_61_years",30,1.79640718562874
303002,"X62_to_64_years",61,3.65269461077844
303002,"X65_and_66_years",26,1.55688622754491
303002,"X67_to_69_years",46,2.75449101796407
303002,"X70_to_74_years",56,3.35329341317365
303002,"X75_to_79_years",47,2.81437125748503
303002,"X80_to_84_years",49,2.93413173652695
303002,"X85_years_and_over",28,1.67664670658683
303003,"Xunder_5_years",59,3.9202657807309
303003,"X5_to_9_years",110,7.30897009966777
303003,"X10_to_14_years",133,8.83720930232558
303003,"X15_to_17_years",103,6.84385382059801
303003,"X18_to_21_years",54,3.58803986710963
303003,"X22_to_24_years",26,1.72757475083056
303003,"X25_to_29_years",27,1.79401993355482
303003,"X30_to_34_years",41,2.72425249169435
303003,"X35_to_39_years",64,4.25249169435216
303003,"X40_to_44_years",125,8.30564784053156
303003,"X45_to_49_years",149,9.90033222591362
303003,"X50_to_54_years",157,10.4318936877076
303003,"X55_to_59_years",131,8.70431893687708
303003,"X60_and_61_years",52,3.45514950166113
303003,"X62_to_64_years",52,3.45514950166113
303003,"X65_and_66_years",33,2.19269102990033
303003,"X67_to_69_years",37,2.45847176079734
303003,"X70_to_74_years",47,3.12292358803987
303003,"X75_to_79_years",44,2.92358803986711
303003,"X80_to_84_years",26,1.72757475083056
303003,"X85_years_and_over",35,2.32558139534884
304001,"Xunder_5_years",48,4.3360433604336
304001,"X5_to_9_years",104,9.39476061427281
304001,"X10_to_14_years",121,10.9304426377597
304001,"X15_to_17_years",88,7.94941282746161
304001,"X18_to_21_years",18,1.6260162601626
304001,"X22_to_24_years",12,1.0840108401084
304001,"X25_to_29_years",11,0.993676603432701
304001,"X30_to_34_years",15,1.3550135501355
304001,"X35_to_39_years",44,3.9747064137308
304001,"X40_to_44_years",90,8.13008130081301
304001,"X45_to_49_years",127,11.4724480578139
304001,"X50_to_54_years",108,9.75609756097561
304001,"X55_to_59_years",77,6.95573622402891
304001,"X60_and_61_years",43,3.8843721770551
304001,"X62_to_64_years",36,3.2520325203252
304001,"X65_and_66_years",17,1.5356820234869
