HOME,BMI_M,CAR_AGE,MILE_M,NOBS,BLUE,WHITE,PINK,GOVT,P_TDI,P_UI,AVG_MATH,AVG_VERBAL,SAT_TAKE,NOBS_SAT_TAKE,AVG_AP,AP_TAKE,NOBS_AP_TAKE,N_PRISONERS,av_above0_math,av_above0_read,av_va_math_elem,av_va_math_middle,av_va_read_elem,av_va_read_middle,va_read,va_math,population,over_18,PROPORTION_PRISONERS,bg_id
137011.0,25.84,8.83,35709.0,3872.0,31.41,51.28,13.25,4.06,0.96,1.11,,,41.67,12.0,,8.33,12.0,34.0,0.4827586,0.8787879,-0.0693827,0.0364812,0.1073321,0.1028916,88.0,48.0,861,666.0,5.11,0137011
137012.0,26.2,9.81,43506.0,4863.0,34.95,46.93,14.89,3.24,1.05,0.95,457.65,468.24,22.73,44.0,,9.09,44.0,57.0,0.4666667,0.8148148,-0.0734985,0.0567947,0.0895386,0.1069626,81.0,47.0,1067,816.0,6.99,0137012
137013.0,25.83,9.44,42128.0,3992.0,41.58,38.34,17.65,2.43,0.98,1.18,423.33,416.0,25.0,32.0,,6.25,32.0,60.0,0.4615385,0.877551,-0.0861906,0.0420521,0.1065587,0.0908624,88.0,46.0,976,717.0,8.37,0137013
137014.0,26.14,9.23,46684.0,5449.0,36.44,44.21,15.96,3.39,1.01,1.45,484.67,482.0,24.24,33.0,,12.12,33.0,79.0,0.5227273,0.9122807,-0.0268374,0.0145776,0.0955643,0.0869437,91.0,52.0,1234,954.0,8.28,0137014
137021.0,26.04,9.43,44962.0,4117.0,30.65,45.97,20.24,3.14,0.9,1.21,495.29,491.76,39.29,28.0,,3.57,28.0,58.0,0.5142857,0.8125,-0.0285326,0.0218961,0.0953773,0.0719857,81.0,51.0,863,678.0,8.55,0137021
137022.0,25.88,9.14,27650.0,4505.0,30.87,50.54,14.26,4.33,0.95,1.04,535.83,550.83,23.08,25.0,,19.23,25.0,40.0,0.4333333,0.8048781,-0.0303904,0.0012957,0.0961644,0.0870725,80.0,43.0,1022,829.0,4.83,0137022
137023.0,25.96,8.83,47673.0,4309.0,34.22,46.63,15.96,3.19,1.23,1.51,465.26,465.26,41.67,24.0,,20.83,24.0,72.0,0.5,0.7741935,-0.0196141,0.0229423,0.1094307,0.0870508,77.0,50.0,914,730.0,9.86,0137023
138001.0,25.98,8.66,27000.0,4074.0,35.2,45.55,14.91,4.35,0.69,1.01,443.6,470.0,35.48,31.0,,6.45,31.0,21.0,0.3666667,0.8108108,-0.0079324,-0.0008608,0.0802826,0.0499436,81.0,37.0,972,780.0,2.69,0138001
138002.0,26.09,8.83,41300.0,4434.0,32.3,50.18,13.87,3.65,0.99,0.99,495.38,521.54,18.18,22.0,,18.18,22.0,23.0,0.5416667,0.78125,0.0156389,0.0208709,0.0822095,0.0583472,78.0,54.0,960,739.0,3.11,0138002
138003.0,25.67,8.99,29081.0,2746.0,31.59,47.54,14.2,6.67,0.73,1.13,525.0,571.43,52.94,17.0,,29.41,17.0,15.0,0.5217391,0.6896552,0.024324,-0.0257758,0.0687925,0.007625,69.0,52.0,672,520.0,2.88,0138003
138004.0,25.65,8.43,30955.0,4245.0,31.77,46.99,16.17,5.08,1.08,0.78,526.15,536.15,30.43,23.0,,8.7,23.0,29.0,0.4827586,0.7837838,-0.0015587,0.0193058,0.0814882,0.0768143,78.0,48.0,1036,803.0,3.61,0138004
138005.0,25.63,7.92,33653.0,5445.0,31.62,50.64,15.16,2.58,0.96,1.12,459.23,456.15,40.0,25.0,,0.0,25.0,35.0,0.5,0.8333333,-0.0011514,0.0045345,0.0955864,0.0730041,83.0,50.0,1128,938.0,3.73,0138005
139001.0,25.25,8.71,27046.0,2986.0,29.89,48.1,14.4,7.61,0.7,0.87,506.92,483.08,42.86,14.0,,14.29,14.0,16.0,0.368421,0.6,-0.011912,-0.0846338,0.0572624,-0.0264654,60.0,37.0,826,711.0,2.25,0139001
139002.0,25.65,8.67,25817.0,3672.0,33.41,47.94,15.62,3.04,0.98,1.09,,,38.46,13.0,,23.08,13.0,34.0,0.44,0.6875,0.0096753,-0.0782317,0.0671723,-0.0179856,69.0,44.0,911,787.0,4.32,0139002
139003.0,25.82,8.27,24113.0,4826.0,36.0,42.67,16.5,4.83,0.58,1.14,466.67,456.67,31.58,19.0,,15.79,19.0,35.0,0.3636364,0.6666667,0.0083414,-0.0839426,0.0594665,-0.0168523,67.0,36.0,1255,1047.0,3.34,0139003
140001.0,26.07,9.51,27978.0,4660.0,36.22,46.09,14.46,3.23,1.01,0.99,492.22,472.22,21.21,33.0,,9.09,33.0,72.0,0.4210526,0.8666667,-0.0799022,0.0434914,0.1080334,0.0992929,87.0,42.0,1179,910.0,7.91,0140001
140002.0,26.12,8.9,42037.0,5692.0,33.66,43.99,19.09,3.25,1.21,1.26,460.59,478.24,26.67,30.0,,3.33,30.0,74.0,0.5744681,0.8644068,0.0336499,0.0737642,0.092956,0.067896,86.0,57.0,1343,1013.0,7.31,0140002
140003.0,26.21,9.32,42000.0,6582.0,37.44,44.51,14.39,3.66,1.2,1.44,510.0,497.5,15.0,40.0,,7.5,40.0,79.0,0.575,0.8,0.0678688,0.0813009,0.1050873,0.0550233,80.0,57.0,1792,1433.0,5.51,0140003
140004.0,26.11,9.32,25467.0,2932.0,35.57,42.86,14.85,6.72,0.82,1.13,,,30.77,13.0,,23.08,13.0,24.0,0.7142857,0.9,0.0327881,0.0595171,0.1661768,0.1198392,90.0,71.0,642,532.0,4.51,0140004
140005.0,25.74,8.74,42000.0,3454.0,30.41,45.99,18.73,4.87,1.01,0.87,502.78,505.0,36.84,19.0,,21.05,19.0,16.0,0.75,0.8076923,0.0533369,0.0436313,0.1674884,0.0838115,81.0,75.0,816,625.0,2.56,0140005
141001.0,26.28,9.4,65000.0,7162.0,37.57,45.28,14.77,2.39,0.98,1.75,439.13,444.35,20.0,55.0,,7.27,55.0,112.0,0.5932204,0.7808219,-0.055478,0.0857187,0.0424522,0.0882255,78.0,59.0,1963,1417.0,7.9,0141001
141002.0,26.48,10.21,49621.0,3404.0,36.8,43.07,16.45,3.68,0.94,1.73,,,10.71,28.0,,3.57,28.0,81.0,0.4473684,0.74,-0.0555749,0.0956727,0.0529031,0.0688542,74.0,45.0,1160,909.0,8.91,0141002
141003.0,26.41,9.53,66951.0,3046.0,37.83,45.3,15.66,1.2,0.72,1.35,454.76,425.24,13.89,35.0,,2.78,35.0,87.0,0.5277778,0.7872341,-0.0465042,0.0949253,0.0444639,0.0808927,79.0,53.0,961,698.0,12.46,0141003
141004.0,26.15,9.01,40106.0,5155.0,35.83,42.28,15.89,6.0,1.18,1.45,460.0,467.86,17.65,34.0,,2.94,34.0,58.0,0.7037037,0.7894737,0.0703447,0.0753819,0.1057451,0.0718573,79.0,70.0,968,749.0,7.74,0141004
142001.0,25.73,8.51,26738.0,3155.0,37.84,43.24,14.0,4.91,0.89,1.05,,,35.71,14.0,,0.0,14.0,31.0,0.3157895,0.6521739,0.006646,-0.0855782,0.0600279,-0.021103,65.0,32.0,743,594.0,5.22,0142001
142002.0,26.09,7.6,16966.0,482.0,44.12,45.59,10.29,,,,,,,,,,,64.0,,,,,,,,,3784,3669.0,1.74,0142002
142003.0,25.55,8.3,22000.0,5157.0,33.5,49.51,11.11,5.88,0.64,0.89,473.81,477.62,35.0,20.0,,15.0,20.0,37.0,0.4193548,0.6578947,-0.0008056,-0.0744891,0.0563814,-0.0389144,66.0,42.0,1188,982.0,3.77,0142003
143001.0,26.02,8.05,24859.0,2482.0,37.25,45.64,10.74,6.38,0.73,1.05,,,31.25,16.0,,6.25,16.0,15.0,0.7272727,0.8,0.054858,0.0251647,0.162734,0.0767669,80.0,73.0,572,469.0,3.2,0143001
143002.0,26.13,8.74,26000.0,6690.0,36.9,42.75,16.03,4.33,0.88,1.2,520.0,502.0,44.19,43.0,,16.28,43.0,47.0,0.6451613,0.8108108,0.0497042,0.0497585,0.1673736,0.095214,81.0,65.0,1520,1271.0,3.7,0143002
143003.0,25.59,7.86,20000.0,5498.0,31.44,52.84,9.88,5.84,0.67,0.93,496.5,521.5,37.5,32.0,,31.25,32.0,18.0,0.5172414,0.7567568,0.0593086,-0.0379279,0.1673994,0.0535949,76.0,52.0,1387,1142.0,1.58,0143003
143004.0,25.18,8.42,21598.0,4892.0,33.55,45.91,14.45,6.1,0.92,0.94,499.29,451.43,12.5,16.0,,31.25,16.0,30.0,0.4444444,0.7173913,0.001933,-0.0602101,0.0923712,0.0145959,72.0,44.0,1237,1051.0,2.85,0143004
144001.0,25.4,8.24,17217.0,5664.0,29.72,51.54,12.45,6.3,0.69,0.67,531.25,512.08,31.03,29.0,,24.14,29.0,33.0,0.2307692,0.6470588,-0.051288,-0.0688289,0.0324929,-0.0009926,65.0,23.0,1602,1386.0,2.38,0144001
144002.0,25.52,7.42,18140.0,3438.0,26.27,53.69,12.44,7.6,0.73,0.87,498.89,500.0,40.0,15.0,,26.67,15.0,12.0,0.2666667,0.6944444,-0.0419558,-0.0617655,0.0398006,-0.0066688,69.0,27.0,911,723.0,1.66,0144002
144003.0,25.75,7.91,23000.0,4755.0,35.96,42.81,15.58,5.65,0.86,1.09,499.64,484.29,35.29,34.0,,14.71,34.0,21.0,0.32,0.6875,-0.0654354,-0.05824,0.0300703,-0.0044289,69.0,32.0,1180,950.0,2.21,0144003
145011.0,25.27,8.02,22285.0,10364.0,35.73,46.69,12.42,5.16,0.75,0.77,497.31,490.38,43.24,74.0,2.36,14.86,74.0,24.0,0.4883721,0.754717,0.0095437,-0.0699509,0.0778323,-0.0112649,75.0,49.0,2446,1791.0,1.34,0145011
145012.0,25.48,8.55,25704.0,3746.0,33.11,44.59,14.64,7.66,0.72,0.93,512.14,501.79,41.94,31.0,,22.58,31.0,,0.40625,0.7435898,0.0070726,-0.0648761,0.0980176,0.0013189,74.0,41.0,855,654.0,,0145012
145013.0,25.25,8.18,19669.0,8127.0,32.47,50.31,11.51,5.71,0.86,0.75,496.72,506.21,45.61,57.0,2.91,19.3,57.0,25.0,0.4358974,0.7142857,0.0050215,-0.0340242,0.0943046,0.0014763,71.0,44.0,1878,1371.0,1.82,0145013
145021.0,25.95,8.38,30504.0,5545.0,31.98,44.62,17.44,5.96,1.05,1.24,,,22.73,22.0,,13.64,22.0,21.0,0.4210526,0.62,-0.0305661,-0.0667151,0.0675657,-0.0212071,62.0,42.0,1549,1330.0,1.58,0145021
145022.0,25.69,8.21,27533.0,6536.0,31.81,48.47,14.63,5.09,1.01,1.19,485.14,483.14,46.67,45.0,,11.11,45.0,37.0,0.3404255,0.7090909,-0.0386805,-0.0715597,0.04539,-0.0038824,71.0,34.0,1546,1245.0,2.97,0145022
145023.0,26.23,9.23,33887.0,4551.0,36.72,43.97,13.97,5.34,1.1,1.34,474.62,503.08,25.71,35.0,,2.86,35.0,56.0,0.4571429,0.6444445,-0.0342032,-0.044497,0.0725472,0.0014472,64.0,46.0,1001,805.0,6.96,0145023
146001.0,26.09,8.77,27876.0,4367.0,36.62,46.87,12.14,4.36,0.94,1.05,454.81,460.37,46.67,30.0,,3.33,30.0,21.0,0.2258064,0.5897436,-0.0134991,-0.0874215,0.049187,-0.0049109,59.0,23.0,1001,816.0,2.57,0146001
146002.0,25.12,8.22,17495.0,14085.0,33.0,48.26,13.38,5.36,0.7,0.95,472.33,480.35,46.81,94.0,2.26,19.15,94.0,42.0,0.4038461,0.7586207,0.0086519,-0.0626441,0.0787093,-0.0071824,76.0,40.0,3651,2709.0,1.55,0146002
146003.0,25.38,8.19,19301.0,9756.0,34.38,46.6,12.91,6.11,1.03,0.99,502.9,484.68,52.46,61.0,2.42,19.67,61.0,31.0,0.4,0.7192982,-0.0086959,-0.106002,0.0755654,-0.0013446,72.0,40.0,2339,1737.0,1.78,0146003
147001.0,26.25,9.75,65976.0,6135.0,36.52,44.0,16.77,2.71,1.06,1.73,447.14,416.67,22.03,59.0,,3.39,59.0,86.0,0.5813953,0.8333333,-0.0646975,0.102771,0.0451764,0.0887802,83.0,58.0,1620,1210.0,7.11,0147001
147002.0,26.41,10.07,49638.0,6060.0,38.3,41.93,16.65,3.13,0.97,1.86,426.67,453.33,17.65,51.0,,3.92,51.0,103.0,0.5555556,0.796875,-0.0120298,0.0930806,0.0372348,0.080225,80.0,56.0,1620,1205.0,8.55,0147002
147003.0,26.32,9.66,57006.0,4901.0,39.27,39.88,18.88,1.96,1.0,1.43,,,12.82,39.0,,2.56,39.0,96.0,0.5471698,0.7777778,0.0386145,0.0928697,0.0521807,0.0719263,78.0,55.0,1110,793.0,12.11,0147003
147004.0,26.36,9.4,43193.0,4025.0,37.77,42.34,15.69,4.2,1.14,1.54,,,19.05,21.0,,4.76,21.0,59.0,0.5714286,0.6818182,-0.0422202,0.0314074,0.0668116,0.0178106,68.0,57.0,966,777.0,7.59,0147004
147005.0,26.45,9.46,62870.0,2451.0,36.25,40.62,18.44,4.69,1.02,1.47,,,8.33,12.0,,0.0,12.0,48.0,0.4583333,0.7142857,-0.0473535,0.0276727,0.0600857,0.0267703,71.0,46.0,719,625.0,7.68,0147005
147006.0,26.67,9.82,43350.0,4482.0,36.82,40.25,19.03,3.9,1.34,1.27,,,7.89,38.0,,2.63,38.0,122.0,0.4677419,0.7088608,-0.0088599,0.0643637,0.0344484,0.051732,71.0,47.0,1309,972.0,12.55,0147006
