"variable","value","p","id2"
"white ",882280,80.8657403970329,"All"
"black or african american ",77754,7.12657521289262,"All"
"american indian and alaska native ",14394,1.31928805739096,"All"
"asian ",36763,3.36952805709766,"All"
"native hawaiian and other pacific islander ",2260,0.207141240079447,"All"
"some other race ",77592,7.11172703550639,"All"
